Year,Non-renewable percent,Renewable percent,Coal Percent,Petroleum percent,Natural gas percent,Other Gas Percent,Nuclear percent
1949,67.86517299,32.13482701,0.015446681,9.640287224,12.48351127,0,0
1950,69.68634583,30.31365417,0.012135636,10.09743789,13.33756741,0,0
1951,72.08436898,27.91563102,0.009616785,7.650477445,15.0855119,0,0
1952,72.71375129,27.28624871,0.008305912,7.36691287,16.95099114,0,0
1953,75.39264789,24.60735211,0.006777567,8.590666021,17.84839089,0,0
1954,76.50363968,23.49636032,0.005971719,6.618303584,19.67176323,0,0
1955,78.82742941,21.17257059,0.004472867,6.748752462,17.3152168,0,0
1956,79.23607691,20.76392309,0.003714395,5.952676726,17.228247,0,0
1957,78.95907759,21.04092241,0.003362986,6.381445536,17.99635999,0,0.001523693
1958,77.82568327,22.17431673,0.003221285,6.225844141,18.46852383,0,0.025397607
1959,80.1918134,19.8081866,0.0026616,6.565896963,20.55280934,0,0.026367617
1960,80.29211245,19.70788755,0.00235029,6.321086364,20.80861261,0,0.068257663
1961,80.46023924,19.53976076,0.002131724,6.086801075,21.2370867,0,0.212281674
1962,79.92363452,20.07636548,0.001840203,5.697289753,21.48174786,0,0.264549424
1963,81.59990966,18.40009034,0.001600224,5.652175225,21.91259544,0,0.349101881
1964,81.70076788,18.29923212,0.001389814,5.769110084,22.28873525,0,0.338602203
1965,81.34495124,18.65504876,0.001209192,6.122647516,20.93371444,0,0.34549778
1966,82.70553935,17.29446065,0.001028617,6.877906605,21.88623803,0,0.481024451
1967,81.47631789,18.52368211,0.000913344,7.330517334,21.74468079,0,0.628612342
1968,82.99222,17.00778,0.000762494,7.823666721,22.84115212,0,0.939989372
1969,82.3998435,17.6001565,0.000648294,9.53657226,23.05697793,0,0.963558849
1970,83.5947369,16.4052631,0.000574782,11.99804744,24.29074833,0,1.420382068
1971,83.26640437,16.73359563,0.000518775,13.6290454,23.14756611,0,2.35816813
1972,84.15769105,15.84230895,0.000440788,15.64742378,21.43482163,0,3.085670342
1973,85.10106527,14.89893468,0.000389821,16.86337854,18.28582813,0,4.478375902
1974,83.5902297,16.4097703,0.000387215,16.08979388,17.11285716,0,6.093918491
1975,84.03804583,15.96195417,0.000367147,15.05111088,15.607325,0,8.981109705
1976,85.75113133,14.24886862,0.000325188,15.67867073,14.43588299,0,9.363626339
1977,89.29882268,10.70117727,0.000299272,16.83608287,14.3601598,0,11.7926898
1978,87.01984801,12.98015199,0.000277488,16.52323056,13.82248699,0,12.51045345
1979,87.22764197,12.77235803,0.0002674,13.48602327,14.6394556,0,11.33685467
1980,87.56602521,12.43397479,0.000258383,10.74397929,15.12228533,0,10.96765964
1981,88.25492661,11.74507343,0.000256503,8.982731505,15.04704895,0,11.86582536
1982,85.85182282,14.14817722,0.000268902,6.540691924,13.60111794,0,12.59921201
1983,85.22778213,14.77221783,0.000253084,6.246033519,11.84806108,0,12.69435979
1984,86.23871366,13.76128638,0.00023139,4.951834179,12.29170709,0,13.54156805
1985,88.06976235,11.93023773,0.00022148,4.051847436,11.80532611,0,15.51517987
1986,87.73291707,12.26708293,0.000218384,5.484298738,9.978371071,0,16.62489027
1987,89.70512594,10.29487402,0.000204236,4.601139225,10.58603303,0,17.67842823
1988,91.20617164,8.793828323,0.000184788,5.499702528,9.3373591,0,19.46409364
1989,88.90643004,10.96449479,0.000153853,5.539279671,11.88444572,0.264982504,17.84053435
1990,88.2367905,11.64418816,0.000146777,4.162850221,12.27078147,0.341784731,18.98928458
1991,88.35412204,11.49170883,0.000143361,3.895881854,12.41307682,0.368781219,19.92860008
1992,89.4159015,10.46347499,0.000142425,3.247665001,13.10278231,0.430309465,20.06484755
1993,88.86025692,11.03067372,0.000132509,3.527727202,12.97785417,0.405224386,19.08835586
1994,89.62439867,10.26268679,0.000128434,3.260977765,14.17137827,0.410129613,19.72087504
1995,88.48432189,11.39330377,0.000120445,2.223180139,14.79230101,0.413597831,20.08065188
1996,87.70563876,12.19067122,0.000114185,2.363727937,13.21227605,0.416812746,19.59035396
1997,87.59487895,12.30169001,0.000111069,2.650352431,13.72780697,0.3823017,18.00152226
1998,88.96421032,10.93714,0.000103346,3.557725414,14.67441275,0.372683114,18.60903632
1999,89.25828594,10.63281068,9.92E-05,3.195315702,15.05885703,0.382309042,19.71019244
2000,90.64377178,9.230142435,9.37E-05,2.925247034,15.80803666,0.367027156,19.82830383
2001,92.21727804,7.464084622,9.70E-05,3.342042558,17.10436368,0.241914238,20.57531786
2002,90.97508639,8.674334984,9.10E-05,2.450915263,17.90888418,0.297079846,20.21702064
2003,90.70859271,8.929732315,8.98E-05,3.074940718,16.73645487,0.401732629,19.66768657
2004,91.00305123,8.638500139,8.59E-05,3.051086031,17.88414894,0.384138489,19.85939836
2005,91.0264861,8.657367842,8.24E-05,3.013866236,18.76401798,0.332003464,19.28248701
2006,90.35136049,9.329442742,8.20E-05,1.578625208,20.08611515,0.348778513,19.3671908
2007,91.38551228,8.320239898,7.84E-05,1.581501448,21.56951775,0.323651196,19.40039157
2008,90.61880033,9.094660392,7.98E-05,1.12256031,21.43475318,0.284189707,19.5710742
2009,89.24078023,10.45726193,8.68E-05,0.98565198,23.31396275,0.269144717,20.22247249
2010,89.46123701,10.22712288,7.96E-05,0.898435754,23.94382768,0.274245399,19.56258383
2011,87.29143241,12.3633697,8.06E-05,0.736127015,24.72327042,0.282092743,19.2726148
2012,87.56326685,12.0961238,8.27E-05,0.572897402,30.28570325,0.293929718,19.00632076
2013,86.94086005,12.72496282,8.19E-05,0.668093558,27.66467045,0.316110442,19.40539709
2014,86.66537358,13.0057893,8.08E-05,0.738514209,27.52118685,0.293672278,19.47344177
2015,86.43375563,13.22222331,8.15E-05,0.692778656,32.70261435,0.321676844,19.55016906
2016,84.87705759,14.78555382,8.15E-05,0.593738919,33.80958598,0.314163676,19.76350705
2017,82.81691842,16.85845992,8.32E-05,0.530206338,32.1350461,0.309076125,19.95279272
2018,82.77653424,16.91959208,7.76E-05,0.588150772,35.13833096,0.291807978,19.31820301
