Year,type,amount
1949,non_renewable,200965.261
1950,non_renewable,232813.441
1951,non_renewable,270531.451
1952,non_renewable,293639.515
1953,non_renewable,337041.749
1954,non_renewable,364354.41199999995
1955,non_renewable,433786.447
1956,non_renewable,478487.464
1957,non_renewable,501098.089
1958,non_renewable,504496.623
1959,non_renewable,571883.3200000001
1960,non_renewable,609024.037
1961,non_renewable,639676.043
1962,non_renewable,683430.067
1963,non_renewable,747530.402
1964,non_renewable,803222.21
1965,non_renewable,857286.609
1966,non_renewable,943552.5340000001
1967,non_renewable,984559.872
1968,non_renewable,1093613.136
1969,non_renewable,1177127.337
1970,non_renewable,1261467.9440000001
1971,non_renewable,1307358.661
1972,non_renewable,1421175.0219999999
1973,non_renewable,1502852.588
1974,non_renewable,1449428.546
1975,non_renewable,1441659.53
1976,non_renewable,1559003.04
1977,non_renewable,1648902.277
1978,non_renewable,1646193.3599999999
1979,non_renewable,1708047.4070000001
1980,non_renewable,1753796.457
1981,non_renewable,1755401.1800000002
1982,non_renewable,1644061.443
1983,non_renewable,1678021.33
1984,non_renewable,1758882.2610000002
1985,non_renewable,1794276.3630000001
1986,non_renewable,1770924.752
1987,non_renewable,1854894.6630000002
1988,non_renewable,1942353.0389999999
1989,non_renewable,2108628.943
1990,non_renewable,2103619.665
1991,non_renewable,2103262.931
1992,non_renewable,2138704.811
1993,non_renewable,2230741.008
1994,non_renewable,2270132.58
1995,non_renewable,2293908.429
1996,non_renewable,2346018.207
1997,non_renewable,2430319.913
1998,non_renewable,2547065.197
1999,non_renewable,2569669.781
2000,non_renewable,2692478.4779999997
2001,non_renewable,2677004.755
2002,non_renewable,2730166.177
2003,non_renewable,2758649.9560000002
2004,non_renewable,2824798.054
2005,non_renewable,2909522.461
2006,non_renewable,2885295.127
2007,non_renewable,2992237.707
2008,non_renewable,2926731.334
2009,non_renewable,2726451.556
2010,non_renewable,2883361.313
2011,non_renewable,2788867.3789999997
2012,non_renewable,2775024.247
2013,non_renewable,2745967.657
2014,non_renewable,2750572.9560000002
2015,non_renewable,2727245.754
2016,non_renewable,2654467.826
2017,non_renewable,2536108.892
2018,non_renewable,2651168.317
1949,renewable,95159.02799999999
1950,renewable,101274.16
1951,renewable,104766.904
1952,renewable,110189.898
1953,renewable,110006.814
1954,renewable,111903.20599999999
1955,renewable,116512.415
1956,renewable,125388.299
1957,renewable,133544.278
1958,renewable,143954.239
1959,renewable,141495.511
1960,renewable,150131.751
1961,renewable,157448.348
1962,renewable,174513.589
1963,renewable,172497.869
1964,renewable,183996.11599999998
1965,renewable,201099.062
1966,renewable,203979.361
1967,renewable,233235.81600000002
1968,renewable,239212.465
1969,renewable,268330.719
1970,renewable,273643.523
1971,renewable,308494.95499999996
1972,renewable,331803.391
1973,renewable,361204.043
1974,renewable,420890.858
1975,renewable,479095.03900000005
1976,renewable,481910.64
1977,renewable,478545.21
1978,renewable,563183.551
1979,renewable,542617.618
1980,renewable,535803.907
1981,renewable,542572.159
1982,renewable,600311.045
1983,renewable,635424.355
1984,renewable,660583.107
1985,renewable,678725.759
1986,renewable,719546.2
1987,renewable,720393.003
1988,renewable,765058.138
1989,renewable,854687.2949999999
1990,renewable,930592.009
1991,renewable,965797.1050000001
1992,renewable,941457.506
1993,renewable,962962.932
1994,renewable,973722.883
1995,renewable,1055475.125
1996,renewable,1094598.135
1997,renewable,1058240.38
1998,renewable,1069658.891
1999,renewable,1121116.2559999998
2000,renewable,1104832.6509999998
2001,renewable,1047732.552
2002,renewable,1114759.1600000001
2003,renewable,1110490.7389999998
2004,renewable,1131524.8090000001
2005,renewable,1133079.23
2006,renewable,1166432.703
2007,renewable,1152275.886
2008,renewable,1180852.762
2009,renewable,1211951.037
2010,renewable,1228843.246
2011,renewable,1297119.9479999999
2012,renewable,1258953.946
2013,renewable,1306408.889
2014,renewable,1329571.754
2015,renewable,1336327.379
2016,renewable,1408452.922
2017,renewable,1485065.514
2018,renewable,1513946.118
